ID,State,State Abbreviation,Region,Year,Gender,EducationLevelofMother,EducationLevel,NumberOfBirths,AverageAgeOfMother ,AverageBirthWeight ,LowBirthWeight
57,Alabama,AL,Southeast,2019,F,High school graduate,3,9240,25.6,3055.7,Yes
58,Alabama,AL,Southeast,2019,F,Some college credit,4,6055,27.1,3111,No
59,Alabama,AL,Southeast,2019,F,Associate degree,5,2400,29,3179.1,No
60,Alabama,AL,Southeast,2019,F,Bachelor's degree,6,4293,30.4,3238.7,No
61,Alabama,AL,Southeast,2019,F,Master's degree,7,1869,31.9,3235.4,No
62,Alabama,AL,Southeast,2019,F,Doctorate,8,523,33.2,3275.3,No
63,Alabama,AL,Southeast,2019,F,Not Stated,9,46,27.4,3072,Yes
64,Alabama,AL,Southeast,2019,M,8th grade or less,1,1212,28,3246,No
65,Alabama,AL,Southeast,2019,M,9th through 12th grade,2,2999,24.5,3144.5,No
66,Alabama,AL,Southeast,2019,M,High school graduate,3,9647,25.5,3179.5,No
67,Alabama,AL,Southeast,2019,M,Some college credit,4,6490,27.1,3212.7,No
68,Alabama,AL,Southeast,2019,M,Associate degree,5,2617,28.9,3297.6,No
69,Alabama,AL,Southeast,2019,M,Bachelor's degree,6,4599,30.5,3342.3,No
70,Alabama,AL,Southeast,2019,M,Master's degree,7,2046,32.1,3380.2,No
71,Alabama,AL,Southeast,2019,M,Doctorate,8,533,33.1,3375.9,No
72,Alabama,AL,Southeast,2019,M,Not Stated,9,52,28,3160.5,No
73,Alabama,AL,Southeast,2020,F,8th grade or less,1,1153,27.6,3100.8,No
74,Alabama,AL,Southeast,2020,F,9th through 12th grade,2,2763,24.8,3051.5,Yes
75,Alabama,AL,Southeast,2020,F,High school graduate,3,9355,25.6,3056.3,Yes
76,Alabama,AL,Southeast,2020,F,Some college credit,4,5668,27.3,3119.5,No
77,Alabama,AL,Southeast,2020,F,Associate degree,5,2457,29.1,3170.9,No
78,Alabama,AL,Southeast,2020,F,Bachelor's degree,6,4307,30.5,3229.5,No
79,Alabama,AL,Southeast,2020,F,Master's degree,7,1975,31.9,3229.2,No
80,Alabama,AL,Southeast,2020,F,Doctorate,8,549,33.2,3228.2,No
81,Alabama,AL,Southeast,2020,F,Not Stated,9,42,29.4,2971.6,Yes
82,Alabama,AL,Southeast,2020,M,8th grade or less,1,1141,27.4,3212.3,No
83,Alabama,AL,Southeast,2020,M,9th through 12th grade,2,2849,24.5,3121.3,No
84,Alabama,AL,Southeast,2020,M,High school graduate,3,9656,25.7,3172.3,No
85,Alabama,AL,Southeast,2020,M,Some college credit,4,5840,27.3,3233.1,No
86,Alabama,AL,Southeast,2020,M,Associate degree,5,2639,29.2,3284.6,No
87,Alabama,AL,Southeast,2020,M,Bachelor's degree,6,4543,30.4,3347.7,No
88,Alabama,AL,Southeast,2020,M,Master's degree,7,2101,32.1,3354.2,No
89,Alabama,AL,Southeast,2020,M,Doctorate,8,572,33.3,3327.8,No
90,Alabama,AL,Southeast,2020,M,Not Stated,9,37,30.6,3034.6,Yes
91,Alabama,AL,Southeast,2021,F,8th grade or less,1,1183,27.9,3127.1,No
92,Alabama,AL,Southeast,2021,F,9th through 12th grade,2,2595,24.5,3053.7,Yes
93,Alabama,AL,Southeast,2021,F,High school graduate,3,9437,25.8,3070.7,Yes
94,Alabama,AL,Southeast,2021,F,Some college credit,4,5577,27.6,3099.8,Yes
95,Alabama,AL,Southeast,2021,F,Associate degree,5,2441,29,3156.5,No
96,Alabama,AL,Southeast,2021,F,Bachelor's degree,6,4480,30.5,3217.7,No
97,Alabama,AL,Southeast,2021,F,Master's degree,7,2173,31.9,3212.8,No
98,Alabama,AL,Southeast,2021,F,Doctorate,8,577,33,3264.8,No
99,Alabama,AL,Southeast,2021,F,Not Stated,9,32,27.8,3056.9,Yes
100,Alabama,AL,Southeast,2021,M,8th grade or less,1,1203,27.6,3228.6,No
101,Alabama,AL,Southeast,2021,M,9th through 12th grade,2,2645,24.4,3132.3,No
102,Alabama,AL,Southeast,2021,M,High school graduate,3,9728,25.8,3180,No
103,Alabama,AL,Southeast,2021,M,Some college credit,4,5678,27.4,3227.7,No
104,Alabama,AL,Southeast,2021,M,Associate degree,5,2598,29.2,3269.8,No
105,Alabama,AL,Southeast,2021,M,Bachelor's degree,6,4786,30.4,3362.4,No
106,Alabama,AL,Southeast,2021,M,Master's degree,7,2248,31.8,3349.1,No
107,Alabama,AL,Southeast,2021,M,Doctorate,8,643,33.3,3327.3,No
108,Alabama,AL,Southeast,2021,M,Not Stated,9,30,27.5,3102,No
109,Alaska,AK,West,2016,F,8th grade or less,1,32,28.2,3396,No
110,Alaska,AK,West,2016,F,9th through 12th grade,2,491,24.5,3288.1,No
111,Alaska,AK,West,2016,F,High school graduate,3,1603,26.2,3321.2,No
112,Alaska,AK,West,2016,F,Some college credit,4,1442,27.8,3369,No
113,Alaska,AK,West,2016,F,Associate degree,5,438,29.7,3370.3,No
114,Alaska,AK,West,2016,F,Bachelor's degree,6,892,31,3353.1,No
115,Alaska,AK,West,2016,F,Master's degree,7,379,32.8,3371.1,No
116,Alaska,AK,West,2016,F,Doctorate,8,86,33.5,3303.1,No
117,Alaska,AK,West,2016,F,Not Stated,9,81,29.4,3344,No
118,Alaska,AK,West,2016,M,8th grade or less,1,44,28.2,3263,No
119,Alaska,AK,West,2016,M,9th through 12th grade,2,559,24.3,3347.5,No
120,Alaska,AK,West,2016,M,High school graduate,3,1743,26.1,3436.5,No
121,Alaska,AK,West,2016,M,Some college credit,4,1469,28,3485.8,No
122,Alaska,AK,West,2016,M,Associate degree,5,468,29.4,3482.9,No
123,Alaska,AK,West,2016,M,Bachelor's degree,6,956,31,3473.1,No
124,Alaska,AK,West,2016,M,Master's degree,7,340,33.1,3467.9,No
125,Alaska,AK,West,2016,M,Doctorate,8,101,34.4,3505.4,No
126,Alaska,AK,West,2016,M,Not Stated,9,85,29.6,3412.2,No
127,Alaska,AK,West,2017,F,8th grade or less,1,45,28.3,3077.3,Yes
128,Alaska,AK,West,2017,F,9th through 12th grade,2,466,24,3241.4,No
129,Alaska,AK,West,2017,F,High school graduate,3,1522,26.6,3321.5,No
130,Alaska,AK,West,2017,F,Some college credit,4,1323,27.8,3358.6,No
131,Alaska,AK,West,2017,F,Associate degree,5,420,30,3365,No
132,Alaska,AK,West,2017,F,Bachelor's degree,6,796,31.3,3373.7,No
133,Alaska,AK,West,2017,F,Master's degree,7,362,33.4,3391.9,No
134,Alaska,AK,West,2017,F,Doctorate,8,93,34,3280.6,No
135,Alaska,AK,West,2017,F,Not Stated,9,71,29.1,3082.5,Yes
136,Alaska,AK,West,2017,M,8th grade or less,1,43,27.9,3315,No
137,Alaska,AK,West,2017,M,9th through 12th grade,2,476,24.6,3373.2,No
138,Alaska,AK,West,2017,M,High school graduate,3,1575,26.5,3447.3,No
139,Alaska,AK,West,2017,M,Some college credit,4,1400,28.1,3459.8,No
140,Alaska,AK,West,2017,M,Associate degree,5,424,29.8,3455.8,No
141,Alaska,AK,West,2017,M,Bachelor's degree,6,926,31.4,3486.8,No
142,Alaska,AK,West,2017,M,Master's degree,7,326,33.4,3512.2,No
143,Alaska,AK,West,2017,M,Doctorate,8,92,34.4,3381.3,No
144,Alaska,AK,West,2017,M,Not Stated,9,85,29.3,3337,No
145,Alaska,AK,West,2018,F,8th grade or less,1,36,28.1,3331.6,No
146,Alaska,AK,West,2018,F,9th through 12th grade,2,439,24.6,3208.9,No
147,Alaska,AK,West,2018,F,High school graduate,3,1430,26.5,3336.9,No
148,Alaska,AK,West,2018,F,Some college credit,4,1242,28.2,3353.2,No
149,Alaska,AK,West,2018,F,Associate degree,5,408,30.1,3358.2,No
150,Alaska,AK,West,2018,F,Bachelor's degree,6,838,31.4,3398,No
151,Alaska,AK,West,2018,F,Master's degree,7,331,33.3,3408.3,No
152,Alaska,AK,West,2018,F,Doctorate,8,96,34,3406.1,No
153,Alaska,AK,West,2018,F,Not Stated,9,58,29.7,3298.1,No
154,Alaska,AK,West,2018,M,8th grade or less,1,27,28.8,3254.3,No
155,Alaska,AK,West,2018,M,9th through 12th grade,2,441,25.2,3343.2,No
156,Alaska,AK,West,2018,M,High school graduate,3,1591,26.5,3448,No
157,Alaska,AK,West,2018,M,Some college credit,4,1314,28.3,3464.2,No
158,Alaska,AK,West,2018,M,Associate degree,5,430,30,3491.6,No
159,Alaska,AK,West,2018,M,Bachelor's degree,6,899,31.3,3474.1,No
160,Alaska,AK,West,2018,M,Master's degree,7,312,33.3,3499.7,No
161,Alaska,AK,West,2018,M,Doctorate,8,113,34.3,3412.3,No
162,Alaska,AK,West,2018,M,Not Stated,9,81,28.7,3247.4,No
163,Alaska,AK,West,2019,F,8th grade or less,1,35,29.8,3209.7,No
164,Alaska,AK,West,2019,F,9th through 12th grade,2,385,25.2,3155.5,No
165,Alaska,AK,West,2019,F,High school graduate,3,1421,26.6,3322.8,No
166,Alaska,AK,West,2019,F,Some college credit,4,1191,28.2,3368.6,No
167,Alaska,AK,West,2019,F,Associate degree,5,365,30.3,3384.8,No
168,Alaska,AK,West,2019,F,Bachelor's degree,6,801,31.6,3370,No
169,Alaska,AK,West,2019,F,Master's degree,7,327,33.6,3353.8,No
170,Alaska,AK,West,2019,F,Doctorate,8,111,34.2,3343.2,No
171,Alaska,AK,West,2019,F,Not Stated,9,67,29.4,3358.9,No
172,Alaska,AK,West,2019,M,8th grade or less,1,33,29.8,3283.4,No
173,Alaska,AK,West,2019,M,9th through 12th grade,2,445,25.1,3315.6,No
174,Alaska,AK,West,2019,M,High school graduate,3,1580,26.9,3410,No
175,Alaska,AK,West,2019,M,Some college credit,4,1255,28.3,3447.6,No
176,Alaska,AK,West,2019,M,Associate degree,5,411,30,3460.2,No
177,Alaska,AK,West,2019,M,Bachelor's degree,6,874,31.6,3486.6,No
178,Alaska,AK,West,2019,M,Master's degree,7,309,33,3481.3,No
179,Alaska,AK,West,2019,M,Doctorate,8,110,34.8,3421.2,No
180,Alaska,AK,West,2019,M,Not Stated,9,102,28.6,3233,No
181,Alaska,AK,West,2020,F,8th grade or less,1,22,28.9,3301.1,No
182,Alaska,AK,West,2020,F,9th through 12th grade,2,370,25.8,3212.7,No
183,Alaska,AK,West,2020,F,High school graduate,3,1472,26.7,3311.5,No
184,Alaska,AK,West,2020,F,Some college credit,4,1143,28.4,3321.2,No
185,Alaska,AK,West,2020,F,Associate degree,5,389,30.3,3313.8,No
186,Alaska,AK,West,2020,F,Bachelor's degree,6,786,31.3,3342.6,No
187,Alaska,AK,West,2020,F,Master's degree,7,300,33.4,3327.7,No
188,Alaska,AK,West,2020,F,Doctorate,8,114,34.4,3303.8,No
189,Alaska,AK,West,2020,F,Not Stated,9,69,28,3205,No
190,Alaska,AK,West,2020,M,8th grade or less,1,31,29.2,3423.2,No
191,Alaska,AK,West,2020,M,9th through 12th grade,2,365,26,3401.2,No
192,Alaska,AK,West,2020,M,High school graduate,3,1522,26.7,3427.1,No
193,Alaska,AK,West,2020,M,Some college credit,4,1157,28.4,3447.4,No
194,Alaska,AK,West,2020,M,Associate degree,5,424,30.2,3498.1,No
195,Alaska,AK,West,2020,M,Bachelor's degree,6,793,31.5,3481.4,No
196,Alaska,AK,West,2020,M,Master's degree,7,312,33.1,3452.3,No
197,Alaska,AK,West,2020,M,Doctorate,8,116,34.3,3482.4,No
198,Alaska,AK,West,2020,M,Not Stated,9,84,29.2,3255.4,No
199,Alaska,AK,West,2021,F,8th grade or less,1,31,28.2,3178.6,No
200,Alaska,AK,West,2021,F,9th through 12th grade,2,323,24.6,3301,No
201,Alaska,AK,West,2021,F,High school graduate,3,1366,26.9,3310,No
202,Alaska,AK,West,2021,F,Some college credit,4,1096,28.4,3346.9,No
203,Alaska,AK,West,2021,F,Associate degree,5,369,30.6,3332.5,No
204,Alaska,AK,West,2021,F,Bachelor's degree,6,804,31.4,3324.8,No
205,Alaska,AK,West,2021,F,Master's degree,7,320,33.6,3334.7,No
206,Alaska,AK,West,2021,F,Doctorate,8,121,34.4,3302.6,No
207,Alaska,AK,West,2021,F,Not Stated,9,78,29.5,3060.2,Yes
208,Alaska,AK,West,2021,M,8th grade or less,1,29,30.5,3146,No
209,Alaska,AK,West,2021,M,9th through 12th grade,2,389,25.1,3337.1,No
210,Alaska,AK,West,2021,M,High school graduate,3,1482,26.7,3399.6,No
211,Alaska,AK,West,2021,M,Some college credit,4,1161,28.4,3428.2,No
212,Alaska,AK,West,2021,M,Associate degree,5,383,30.2,3440.4,No
213,Alaska,AK,West,2021,M,Bachelor's degree,6,893,31.7,3472.7,No
214,Alaska,AK,West,2021,M,Master's degree,7,334,33.8,3486.5,No
215,Alaska,AK,West,2021,M,Doctorate,8,98,33.9,3426.2,No
216,Alaska,AK,West,2021,M,Not Stated,9,90,29.1,3251.2,No
217,Arizona,AZ,Southwest,2016,F,8th grade or less,1,1373,29.8,3215,No
218,Arizona,AZ,Southwest,2016,F,9th through 12th grade,2,6069,24.8,3174.3,No
219,Arizona,AZ,Southwest,2016,F,High school graduate,3,10386,26.2,3218.4,No
220,Arizona,AZ,Southwest,2016,F,Some college credit,4,9871,27.7,3246.2,No
221,Arizona,AZ,Southwest,2016,F,Associate degree,5,3589,29.4,3233.9,No
222,Arizona,AZ,Southwest,2016,F,Bachelor's degree,6,6783,31.1,3266.6,No
223,Arizona,AZ,Southwest,2016,F,Master's degree,7,2459,32.7,3242.4,No
224,Arizona,AZ,Southwest,2016,F,Doctorate,8,745,33.5,3246.4,No
225,Arizona,AZ,Southwest,2016,F,Not Stated,9,239,27.6,3079.6,Yes
226,Arizona,AZ,Southwest,2016,M,8th grade or less,1,1378,29.4,3309,No
227,Arizona,AZ,Southwest,2016,M,9th through 12th grade,2,6283,24.9,3280.5,No
228,Arizona,AZ,Southwest,2016,M,High school graduate,3,10905,26.2,3303.6,No
229,Arizona,AZ,Southwest,2016,M,Some college credit,4,10214,27.6,3349.6,No
230,Arizona,AZ,Southwest,2016,M,Associate degree,5,3584,29.5,3369.7,No
231,Arizona,AZ,Southwest,2016,M,Bachelor's degree,6,7016,31.1,3399.4,No
232,Arizona,AZ,Southwest,2016,M,Master's degree,7,2525,32.8,3377.1,No
233,Arizona,AZ,Southwest,2016,M,Doctorate,8,789,33.6,3315.4,No
234,Arizona,AZ,Southwest,2016,M,Not Stated,9,312,28.2,3247.8,No
235,Arizona,AZ,Southwest,2017,F,8th grade or less,1,1226,29.5,3248.9,No
236,Arizona,AZ,Southwest,2017,F,9th through 12th grade,2,5726,25,3192.4,No
237,Arizona,AZ,Southwest,2017,F,High school graduate,3,10473,26.4,3204.5,No
238,Arizona,AZ,Southwest,2017,F,Some college credit,4,9479,27.9,3220.5,No
239,Arizona,AZ,Southwest,2017,F,Associate degree,5,3344,29.8,3246.5,No
240,Arizona,AZ,Southwest,2017,F,Bachelor's degree,6,6392,31.2,3272.3,No
241,Arizona,AZ,Southwest,2017,F,Master's degree,7,2601,32.8,3245.5,No
242,Arizona,AZ,Southwest,2017,F,Doctorate,8,759,33.6,3231.4,No
243,Arizona,AZ,Southwest,2017,F,Not Stated,9,273,28.3,3124.9,No
244,Arizona,AZ,Southwest,2017,M,8th grade or less,1,1291,29.8,3300.8,No
245,Arizona,AZ,Southwest,2017,M,9th through 12th grade,2,5831,24.8,3271.5,No
246,Arizona,AZ,Southwest,2017,M,High school graduate,3,11019,26.3,3311.8,No
247,Arizona,AZ,Southwest,2017,M,Some college credit,4,9739,27.8,3346.8,No
248,Arizona,AZ,Southwest,2017,M,Associate degree,5,3412,29.8,3360.9,No
249,Arizona,AZ,Southwest,2017,M,Bachelor's degree,6,6627,31.2,3395.9,No
250,Arizona,AZ,Southwest,2017,M,Master's degree,7,2540,32.8,3351,No
251,Arizona,AZ,Southwest,2017,M,Doctorate,8,835,33.6,3363.6,No
252,Arizona,AZ,Southwest,2017,M,Not Stated,9,305,29.2,3218.5,No
253,Arizona,AZ,Southwest,2018,F,8th grade or less,1,1172,29.5,3224.7,No
254,Arizona,AZ,Southwest,2018,F,9th through 12th grade,2,5420,24.9,3172.1,No
255,Arizona,AZ,Southwest,2018,F,High school graduate,3,10416,26.5,3197.5,No
256,Arizona,AZ,Southwest,2018,F,Some college credit,4,9098,28.1,3224.5,No
257,Arizona,AZ,Southwest,2018,F,Associate degree,5,3364,29.6,3229.8,No
258,Arizona,AZ,Southwest,2018,F,Bachelor's degree,6,6494,31.2,3272.2,No
259,Arizona,AZ,Southwest,2018,F,Master's degree,7,2507,32.8,3252.8,No
260,Arizona,AZ,Southwest,2018,F,Doctorate,8,739,34,3172,No
261,Arizona,AZ,Southwest,2018,F,Not Stated,9,179,28.4,3008.2,Yes
262,Arizona,AZ,Southwest,2018,M,8th grade or less,1,1222,29.5,3286.6,No
263,Arizona,AZ,Southwest,2018,M,9th through 12th grade,2,5682,25.1,3269.5,No
264,Arizona,AZ,Southwest,2018,M,High school graduate,3,10887,26.5,3317.9,No
265,Arizona,AZ,Southwest,2018,M,Some college credit,4,9563,28,3343.4,No
266,Arizona,AZ,Southwest,2018,M,Associate degree,5,3523,29.9,3360.1,No
267,Arizona,AZ,Southwest,2018,M,Bachelor's degree,6,6832,31.2,3379.4,No
268,Arizona,AZ,Southwest,2018,M,Master's degree,7,2604,32.9,3356.8,No
269,Arizona,AZ,Southwest,2018,M,Doctorate,8,836,33.8,3321.6,No
270,Arizona,AZ,Southwest,2018,M,Not Stated,9,185,28.7,3118.8,No
271,Arizona,AZ,Southwest,2019,F,8th grade or less,1,1083,29.6,3180.5,No
272,Arizona,AZ,Southwest,2019,F,9th through 12th grade,2,5085,25.1,3168.3,No
273,Arizona,AZ,Southwest,2019,F,High school graduate,3,10418,26.6,3204,No
274,Arizona,AZ,Southwest,2019,F,Some college credit,4,8830,28.2,3237.9,No
275,Arizona,AZ,Southwest,2019,F,Associate degree,5,3384,29.9,3252,No
276,Arizona,AZ,Southwest,2019,F,Bachelor's degree,6,6529,31.2,3268,No
277,Arizona,AZ,Southwest,2019,F,Master's degree,7,2479,32.8,3251,No
278,Arizona,AZ,Southwest,2019,F,Doctorate,8,753,34.1,3222.6,No
279,Arizona,AZ,Southwest,2019,F,Not Stated,9,138,28.4,2953.7,Yes
280,Arizona,AZ,Southwest,2019,M,8th grade or less,1,1164,29.8,3335.9,No
281,Arizona,AZ,Southwest,2019,M,9th through 12th grade,2,5265,25.1,3287.7,No
282,Arizona,AZ,Southwest,2019,M,High school graduate,3,10875,26.6,3305.6,No
283,Arizona,AZ,Southwest,2019,M,Some college credit,4,9419,28.2,3334.3,No
284,Arizona,AZ,Southwest,2019,M,Associate degree,5,3419,29.8,3368.7,No
285,Arizona,AZ,Southwest,2019,M,Bachelor's degree,6,6937,31.2,3380.2,No
286,Arizona,AZ,Southwest,2019,M,Master's degree,7,2594,33,3368.6,No
287,Arizona,AZ,Southwest,2019,M,Doctorate,8,803,34,3304,No
288,Arizona,AZ,Southwest,2019,M,Not Stated,9,200,29.1,3049.9,Yes
289,Arizona,AZ,Southwest,2020,F,8th grade or less,1,981,29.6,3195.8,No
290,Arizona,AZ,Southwest,2020,F,9th through 12th grade,2,4665,25.2,3170.1,No
291,Arizona,AZ,Southwest,2020,F,High school graduate,3,10275,26.7,3206.2,No
292,Arizona,AZ,Southwest,2020,F,Some college credit,4,8564,28.4,3235.5,No
293,Arizona,AZ,Southwest,2020,F,Associate degree,5,3285,29.9,3248.6,No
294,Arizona,AZ,Southwest,2020,F,Bachelor's degree,6,6563,31.2,3274.3,No
295,Arizona,AZ,Southwest,2020,F,Master's degree,7,2449,32.9,3220.5,No
296,Arizona,AZ,Southwest,2020,F,Doctorate,8,813,33.9,3211.5,No
297,Arizona,AZ,Southwest,2020,F,Not Stated,9,179,28.9,3014.9,Yes
298,Arizona,AZ,Southwest,2020,M,8th grade or less,1,977,29.4,3261.8,No
299,Arizona,AZ,Southwest,2020,M,9th through 12th grade,2,4888,25.2,3267.6,No
300,Arizona,AZ,Southwest,2020,M,High school graduate,3,10585,26.7,3322.5,No
301,Arizona,AZ,Southwest,2020,M,Some college credit,4,8998,28.4,3333.4,No
302,Arizona,AZ,Southwest,2020,M,Associate degree,5,3418,30,3349.2,No
303,Arizona,AZ,Southwest,2020,M,Bachelor's degree,6,6699,31.3,3383.4,No
304,Arizona,AZ,Southwest,2020,M,Master's degree,7,2577,32.8,3369.2,No
305,Arizona,AZ,Southwest,2020,M,Doctorate,8,828,34,3308.8,No
306,Arizona,AZ,Southwest,2020,M,Not Stated,9,203,29.5,3082.4,Yes
307,Arizona,AZ,Southwest,2021,F,8th grade or less,1,899,29.2,3183.5,No
308,Arizona,AZ,Southwest,2021,F,9th through 12th grade,2,4417,25.3,3140.5,No
309,Arizona,AZ,Southwest,2021,F,High school graduate,3,10448,26.9,3195.8,No
310,Arizona,AZ,Southwest,2021,F,Some college credit,4,8413,28.5,3218.7,No
311,Arizona,AZ,Southwest,2021,F,Associate degree,5,3302,30.1,3251.6,No
312,Arizona,AZ,Southwest,2021,F,Bachelor's degree,6,6921,31.2,3274.3,No
313,Arizona,AZ,Southwest,2021,F,Master's degree,7,2646,32.8,3217.8,No
314,Arizona,AZ,Southwest,2021,F,Doctorate,8,808,34.1,3230.2,No
315,Arizona,AZ,Southwest,2021,F,Not Stated,9,174,28.4,2851.9,Yes
316,Arizona,AZ,Southwest,2021,M,8th grade or less,1,939,29.6,3276,No
317,Arizona,AZ,Southwest,2021,M,9th through 12th grade,2,4648,25.3,3248.1,No
318,Arizona,AZ,Southwest,2021,M,High school graduate,3,11011,26.9,3293.3,No
319,Arizona,AZ,Southwest,2021,M,Some college credit,4,8692,28.6,3321.8,No
320,Arizona,AZ,Southwest,2021,M,Associate degree,5,3505,29.9,3317.7,No
321,Arizona,AZ,Southwest,2021,M,Bachelor's degree,6,7362,31.2,3386.3,No
322,Arizona,AZ,Southwest,2021,M,Master's degree,7,2667,32.8,3357,No
323,Arizona,AZ,Southwest,2021,M,Doctorate,8,892,34.3,3340,No
324,Arizona,AZ,Southwest,2021,M,Not Stated,9,172,29.5,2977.1,Yes
325,Arkansas,AR,Southwest,2016,F,8th grade or less,1,455,29.6,3237.2,No
326,Arkansas,AR,Southwest,2016,F,9th through 12th grade,2,2284,23.9,3099.7,Yes
327,Arkansas,AR,Southwest,2016,F,High school graduate,3,6053,25.1,3135.8,No
328,Arkansas,AR,Southwest,2016,F,Some college credit,4,4403,26.4,3186.9,No
329,Arkansas,AR,Southwest,2016,F,Associate degree,5,1334,28.4,3257,No
330,Arkansas,AR,Southwest,2016,F,Bachelor's degree,6,2629,29.9,3281.6,No
331,Arkansas,AR,Southwest,2016,F,Master's degree,7,954,31.4,3313,No
332,Arkansas,AR,Southwest,2016,F,Doctorate,8,265,32.6,3285.3,No
333,Arkansas,AR,Southwest,2016,F,Not Stated,9,122,26.4,2999.1,Yes
